Epoch,Train Loss,Train Acc,Val Loss,Val Acc,Val F1
1,2.1930,16.79,2.3817,17.85,18.05
2,2.0547,24.42,2.2938,32.25,28.88
3,1.9405,34.06,2.2650,39.15,32.09
4,1.8674,41.19,2.1477,44.76,38.92
5,1.7730,47.87,2.1176,48.99,39.31
6,1.7363,51.23,1.9313,59.28,47.84
7,1.6943,54.35,1.8918,60.91,50.48
8,1.6802,55.21,2.0291,54.59,46.28
9,1.6541,57.70,1.9334,58.24,49.54
10,1.6303,57.93,1.8753,60.85,50.67
11,1.6165,59.36,1.8810,61.95,52.59
12,1.6170,59.51,1.8732,62.28,51.87
13,1.5987,60.46,1.8224,64.69,53.72
14,1.5711,61.45,1.8077,65.93,55.36
15,1.5627,61.83,2.0366,55.83,47.85
16,1.5518,62.77,1.9188,59.80,52.69
17,1.5377,63.38,1.8215,64.10,54.53
18,1.5224,64.10,1.9025,61.63,53.66
19,1.5226,63.87,1.8659,61.76,52.17
20,1.5225,63.56,1.8448,63.45,55.12
21,1.5113,64.72,1.8332,64.17,54.89
22,1.4941,64.56,1.8084,65.34,55.70
23,1.4936,64.94,1.8577,64.63,55.11
24,1.4834,65.47,1.8916,62.93,55.46
25,1.4769,65.59,1.7998,66.25,57.53
26,1.4686,66.39,1.7777,67.88,58.76
27,1.4504,66.65,1.7897,67.30,59.08
28,1.4579,66.82,1.7584,68.27,60.37
29,1.4348,67.57,1.7954,66.71,58.38
30,1.4287,68.39,1.8454,63.91,55.07
31,1.4147,68.31,1.7755,66.84,57.16
32,1.4129,68.30,1.7633,68.27,59.32
33,1.4149,68.15,1.8836,63.06,55.29
34,1.3807,69.51,1.8079,67.10,57.83
35,1.3876,69.40,1.7804,67.88,58.22
36,1.3770,69.88,1.8504,64.63,55.75
37,1.3723,69.85,1.7688,67.69,56.85
38,1.3695,70.51,1.7601,68.40,57.93
39,1.3620,70.18,1.7412,69.90,59.54
40,1.3529,70.64,1.8279,65.67,57.15
41,1.3460,71.18,1.7912,67.17,57.47
42,1.3480,71.25,1.7660,68.34,58.97
43,1.3258,71.54,1.8111,66.19,57.51
44,1.3300,71.84,1.7814,66.78,58.67
45,1.3115,72.33,1.7385,70.49,61.96
46,1.3143,72.40,1.7385,69.19,61.35
47,1.3068,73.00,1.7642,69.71,59.32
48,1.3010,73.24,1.7739,67.23,57.48
49,1.2827,73.28,1.7904,68.40,59.14
50,1.2965,74.10,1.7574,70.03,60.27
51,1.2868,73.43,1.7896,68.66,59.76
52,1.2628,74.71,1.7676,69.19,60.18
53,1.2644,74.17,1.7578,70.88,62.90
54,1.2400,74.98,1.7477,71.14,62.84
55,1.2486,75.09,1.8070,69.06,60.57
56,1.2538,74.79,1.7679,70.36,61.77
57,1.2501,75.10,1.7495,69.71,61.37
58,1.2236,76.11,1.7666,70.36,61.57
59,1.2326,75.36,1.7371,71.73,63.53
60,1.2312,76.06,1.7612,70.16,61.58
61,1.2239,76.33,1.7317,71.66,62.53
62,1.2127,76.92,1.7234,72.31,63.81
63,1.2041,77.19,1.7298,71.40,63.19
64,1.2052,77.08,1.7520,70.94,62.80
65,1.1874,77.41,1.7729,70.75,62.17
66,1.1784,77.56,1.7316,72.51,62.98
67,1.1743,78.44,1.7325,72.25,62.99
68,1.1832,77.30,1.7711,71.01,61.87
69,1.1782,78.32,1.7406,71.66,62.20
70,1.1733,78.27,1.7269,71.99,62.80
71,1.1751,78.20,1.7627,71.21,62.94
72,1.1515,79.01,1.7374,70.68,61.42
73,1.1643,78.84,1.7637,72.05,63.31
74,1.1538,78.80,1.7589,72.12,63.63
75,1.1410,79.78,1.7319,72.05,62.31
76,1.1396,80.26,1.7694,71.66,62.93
77,1.1312,80.08,1.7540,71.99,61.91
78,1.1416,79.68,1.7294,72.57,63.35
79,1.1353,79.91,1.7506,72.70,63.31
80,1.1325,80.54,1.7535,71.34,62.20
81,1.1293,79.81,1.7414,72.57,63.73
82,1.1309,80.56,1.7283,73.62,64.63
83,1.1204,81.17,1.7373,72.70,63.69
84,1.1244,80.43,1.7511,72.90,63.96
85,1.1089,80.96,1.7616,71.34,63.04
86,1.1116,81.39,1.7598,71.99,63.23
87,1.1156,81.09,1.7527,71.73,62.64
88,1.1155,80.99,1.7643,71.86,63.46
89,1.0998,81.81,1.7659,72.38,63.35
90,1.1121,81.39,1.7535,71.86,63.16
91,1.1149,81.34,1.7625,71.66,61.92
92,1.1199,80.93,1.7641,71.27,62.01
93,1.1019,81.44,1.7406,72.18,63.02
94,1.1061,81.43,1.7465,71.92,62.30
95,1.1086,81.17,1.7532,71.92,62.62
96,1.1147,80.52,1.7331,73.16,63.88
97,1.1097,81.14,1.7352,72.70,63.38
