Epoch,Train Loss,Train Acc,Val Loss,Val Acc,Val F1
1,2.1039,20.53,2.2792,30.81,27.28
2,1.8634,41.04,2.0562,50.10,44.60
3,1.7034,53.60,1.8620,63.26,53.60
4,1.6245,59.07,1.8715,62.87,54.61
5,1.5898,61.89,1.9161,59.54,52.46
6,1.5692,63.51,1.8205,66.38,57.42
7,1.5500,65.51,1.8862,62.48,55.66
8,1.5296,66.13,1.8229,67.49,56.79
9,1.5201,66.48,1.6852,73.49,63.67
10,1.4883,67.60,1.9606,61.04,52.76
11,1.4887,68.35,1.7178,71.99,59.19
12,1.4654,69.64,1.6463,75.11,65.07
13,1.4528,69.73,1.6367,76.35,66.05
14,1.4404,70.69,1.6605,74.66,65.22
15,1.4208,71.00,1.7256,73.29,63.77
16,1.4056,71.72,1.6653,75.11,66.54
17,1.4010,72.11,1.6815,75.24,66.30
18,1.3899,72.93,1.6434,76.61,67.22
19,1.3819,73.58,1.6972,71.86,62.23
20,1.3625,73.63,1.6198,76.81,68.64
21,1.3532,74.03,1.8313,68.27,58.69
22,1.3391,74.97,1.6380,77.20,68.49
23,1.3239,75.76,1.7170,73.55,65.94
24,1.3180,75.93,1.7615,69.58,61.21
25,1.2983,76.11,1.5520,80.52,70.54
26,1.3003,76.46,1.5428,81.76,73.68
27,1.2835,77.85,1.6527,75.70,67.89
28,1.2675,77.68,1.6619,75.77,67.73
29,1.2676,78.09,1.6003,77.65,71.13
30,1.2577,78.30,1.6589,74.40,68.43
31,1.2374,79.30,1.6576,77.20,68.62
32,1.2254,78.94,1.5781,79.74,72.42
33,1.2304,79.31,1.6311,78.44,69.25
34,1.2115,80.09,1.5519,81.69,74.11
35,1.1937,80.69,1.5899,79.48,71.32
36,1.1937,81.38,1.5615,81.17,72.95
37,1.1761,81.13,1.5812,78.37,69.90
38,1.1848,80.73,1.6335,77.26,70.22
39,1.1703,81.79,1.5604,80.78,72.22
40,1.1563,82.14,1.5923,80.39,72.64
41,1.1588,82.11,1.5799,79.74,71.66
