Epoch,Train Loss,Train Acc,Val Loss,Val Acc,Val F1
1,2.0309,30.78,2.1949,35.44,31.48
2,1.8637,42.15,2.3429,32.25,30.59
3,1.7812,48.19,2.0970,46.64,42.88
4,1.7324,51.12,2.3006,37.39,34.11
5,1.7030,53.26,2.0923,46.64,42.02
6,1.6729,55.13,2.1096,46.91,43.87
7,1.6532,57.32,1.9909,55.18,47.41
8,1.6299,58.68,2.0672,48.08,42.90
9,1.6147,59.42,1.9952,56.03,46.77
10,1.5862,60.29,1.9717,55.77,47.09
11,1.5621,62.01,1.9687,55.83,48.89
12,1.5413,63.30,1.9709,56.68,51.19
13,1.5335,63.37,1.8311,63.84,55.19
14,1.5199,64.04,1.9308,57.85,50.99
15,1.5069,64.90,1.9429,58.83,53.97
16,1.4957,65.09,1.7767,67.88,60.23
17,1.4853,65.88,2.1301,49.38,44.35
18,1.4511,67.28,1.9931,55.44,50.00
19,1.4481,67.22,1.8052,64.10,56.17
20,1.4411,67.24,2.0999,52.64,47.87
21,1.4334,68.04,1.8931,60.39,53.86
22,1.4164,69.63,2.0094,54.27,47.28
23,nan,68.18,nan,5.28,1.43
24,nan,69.39,nan,5.28,1.43
25,nan,42.38,nan,5.28,1.43
26,nan,5.75,nan,5.28,1.43
27,nan,5.75,nan,5.28,1.43
28,nan,5.75,nan,5.28,1.43
29,nan,5.75,nan,5.28,1.43
30,nan,5.75,nan,5.28,1.43
31,nan,5.75,nan,5.28,1.43
